iter	Passed	Remaining
851	1544	268
852	1546	266
853	1548	264
854	1549	262
855	1551	260
856	1553	259
857	1555	257
858	1557	255
859	1559	253
860	1560	251
861	1562	250
862	1564	248
863	1566	246
864	1568	244
865	1570	243
866	1572	241
867	1574	239
868	1576	237
869	1578	235
870	1579	233
871	1581	232
872	1583	230
873	1585	228
874	1587	226
875	1589	224
876	1591	223
877	1592	221
878	1594	219
879	1597	217
880	1598	215
881	1601	214
882	1603	212
883	1605	210
884	1607	208
885	1608	207
886	1610	205
887	1612	203
888	1614	201
889	1616	199
890	1618	197
891	1620	196
892	1621	194
893	1623	192
894	1625	190
895	1626	188
896	1628	187
897	1630	185
898	1632	183
899	1633	181
900	1635	179
901	1637	177
902	1639	176
903	1641	174
904	1642	172
905	1644	170
906	1646	168
907	1648	166
908	1650	165
909	1652	163
910	1654	161
911	1656	159
912	1657	157
913	1659	156
914	1661	154
915	1663	152
916	1666	150
917	1668	149
918	1670	147
919	1672	145
920	1674	143
921	1676	141
922	1678	139
923	1679	138
924	1682	136
925	1683	134
926	1685	132
927	1687	130
928	1689	129
929	1691	127
930	1692	125
931	1694	123
932	1696	121
933	1698	120
934	1700	118
935	1702	116
936	1704	114
937	1706	112
938	1708	110
939	1710	109
940	1711	107
941	1713	105
942	1715	103
943	1717	101
944	1718	100
945	1720	98
946	1722	96
947	1723	94
948	1725	92
949	1727	90
950	1729	89
951	1731	87
952	1733	85
953	1735	83
954	1737	81
955	1738	80
956	1740	78
957	1742	76
958	1743	74
959	1745	72
960	1747	70
961	1749	69
962	1751	67
963	1753	65
964	1754	63
965	1756	61
966	1758	60
967	1760	58
968	1762	56
969	1764	54
970	1765	52
971	1767	50
972	1769	49
973	1771	47
974	1772	45
975	1774	43
976	1776	41
977	1778	40
978	1780	38
979	1782	36
980	1783	34
981	1785	32
982	1787	30
983	1789	29
984	1790	27
985	1792	25
986	1794	23
987	1796	21
988	1798	20
989	1800	18
990	1802	16
991	1803	14
992	1805	12
993	1807	10
994	1809	9
995	1811	7
996	1812	5
997	1814	3
998	1816	1
999	1817	0
